,Nombre,Foto,Rol,Link
0,Miguel Angel Nievas,https://uploads-ssl.webflow.com/60782404b8e195845053206a/613a358c0aa9a0d0d27d11f3_miguel-angel.jpg,Lead Instructor,https://www.linkedin.com/in/miguelangelnievasfuertes/
1,Alberto Romero,https://uploads-ssl.webflow.com/60782404b8e195845053206a/62d52849074c2e7609477546_Alberto_Romero.png,Lead Instructor,https://www.linkedin.com/in/albertoromv/
2,Alberto Becerra,https://uploads-ssl.webflow.com/60782404b8e195845053206a/639b3feca5ce5fd3c24d967d_Foto-alberto.png,Lead Instructor,https://www.linkedin.com/in/alberto-becerra-tome-data-science-instructor/
3,José Luis Gómez,https://uploads-ssl.webflow.com/60782404b8e195845053206a/638e1295b69ba827e3dc2635_joseramon.png,Lead Instructor,https://www.linkedin.com/in/jlgortega/
4,Marco Russo,https://uploads-ssl.webflow.com/60782404b8e195845053206a/60e584a4da592ca831acd878_MARCO%20RUSSO_LI%20DS.png,Lead Instructor,https://www.linkedin.com/in/marcusrb/
5,Gustavo Martín,https://uploads-ssl.webflow.com/60782404b8e195845053206a/624a91a92fd62063d8fbee73_IMG_20180924_094619%20(1).jpg,Lead Instructor,https://www.linkedin.com/in/gustavomartinvela/
6,Fernando Carrasco,https://uploads-ssl.webflow.com/60782404b8e195845053206a/632037cb5478cc7416eecc5a_Fernando%20Carrasco.jpeg,Lead Instructor,https://www.linkedin.com/in/fernando-carrasco-847a28aa/
7,Carlos Sevilla,https://uploads-ssl.webflow.com/60782404b8e195845053206a/63357b80e8f05d18fa0738cb_Copia%20de%20foto.jpeg,Lead Instructor,https://www.linkedin.com/in/carlos-sevilla-barcel%C3%B3/
8,Miguel Ángel Valle,https://uploads-ssl.webflow.com/60782404b8e195845053206a/632d570b49c0b16b4a0700f9_Miguel-Angel-Valle.png,Lead Instructor,https://www.linkedin.com/in/mvalleheath/
9,Miguel Angel Nievas,https://uploads-ssl.webflow.com/60782404b8e195845053206a/613a358c0aa9a0d0d27d11f3_miguel-angel.jpg,Lead Instructor,https://www.linkedin.com/in/miguelangelnievasfuertes/
10,Alberto Romero,https://uploads-ssl.webflow.com/60782404b8e195845053206a/62d52849074c2e7609477546_Alberto_Romero.png,Lead Instructor,https://www.linkedin.com/in/albertoromv/
11,Alberto Becerra,https://uploads-ssl.webflow.com/60782404b8e195845053206a/639b3feca5ce5fd3c24d967d_Foto-alberto.png,Lead Instructor,https://www.linkedin.com/in/alberto-becerra-tome-data-science-instructor/
12,José Luis Gómez,https://uploads-ssl.webflow.com/60782404b8e195845053206a/638e1295b69ba827e3dc2635_joseramon.png,Lead Instructor,https://www.linkedin.com/in/jlgortega/
13,Marco Russo,https://uploads-ssl.webflow.com/60782404b8e195845053206a/60e584a4da592ca831acd878_MARCO%20RUSSO_LI%20DS.png,Lead Instructor,https://www.linkedin.com/in/marcusrb/
14,Gustavo Martín,https://uploads-ssl.webflow.com/60782404b8e195845053206a/624a91a92fd62063d8fbee73_IMG_20180924_094619%20(1).jpg,Lead Instructor,https://www.linkedin.com/in/gustavomartinvela/
15,Fernando Carrasco,https://uploads-ssl.webflow.com/60782404b8e195845053206a/632037cb5478cc7416eecc5a_Fernando%20Carrasco.jpeg,Lead Instructor,https://www.linkedin.com/in/fernando-carrasco-847a28aa/
16,Carlos Sevilla,https://uploads-ssl.webflow.com/60782404b8e195845053206a/63357b80e8f05d18fa0738cb_Copia%20de%20foto.jpeg,Lead Instructor,https://www.linkedin.com/in/carlos-sevilla-barcel%C3%B3/
17,Miguel Ángel Valle,https://uploads-ssl.webflow.com/60782404b8e195845053206a/632d570b49c0b16b4a0700f9_Miguel-Angel-Valle.png,Lead Instructor,https://www.linkedin.com/in/mvalleheath/
