,Nombre,Foto,Rol,Link
0,Alejandro Reyes,https://uploads-ssl.webflow.com/60782404b8e195845053206a/60d5a0852b337e3154e4c6ac_Alejandro.jpg,Lead Instructor,https://www.linkedin.com/in/alejandroreyesb/
1,Antonio Llamas,https://uploads-ssl.webflow.com/60782404b8e195845053206a/632037fd6ad71817503e13d7_fotoCarnet.jpg,Lead Instructor,https://www.linkedin.com/in/llamasa/
2,Sofía Pinilla,https://uploads-ssl.webflow.com/60782404b8e195845053206a/638e127e2af3ba5e3e105b21_sofia.png,Lead Instructor,https://www.linkedin.com/in/sof%C3%ADapinilla/
3,Francisco Molpeceres,https://uploads-ssl.webflow.com/60782404b8e195845053206a/60d5a3187e2172cd6a860688_Fullstack%20PT.jpg,Lead Instructor,https://www.linkedin.com/in/francisco-molpeceres-blazquez/
4,Giorgio Grassini,https://uploads-ssl.webflow.com/60782404b8e195845053206a/60e583dcc45696e19268ea60_GIORGIO%20GRASSINI_LI%20FS.jpg,Lead Instructor,https://www.linkedin.com/in/giorgiograssini/
5,Miguel Jiménez,https://uploads-ssl.webflow.com/60782404b8e195845053206a/62710f08b932aac026891a17_FotoMiguelJimenez.jpg,Lead Instructor,https://www.linkedin.com/in/miguelflg13/
6,Jonathan Hidalgo,https://uploads-ssl.webflow.com/60782404b8e195845053206a/6316eded1424857f6ccbb004_Profile_Photo.jpeg,Lead Instructor,https://www.linkedin.com/in/jonathan-hidalgo-mora-390216125/
7,Alejandro Reyes,https://uploads-ssl.webflow.com/60782404b8e195845053206a/60d5a0852b337e3154e4c6ac_Alejandro.jpg,Lead Instructor,https://www.linkedin.com/in/alejandroreyesb/
8,Antonio Llamas,https://uploads-ssl.webflow.com/60782404b8e195845053206a/632037fd6ad71817503e13d7_fotoCarnet.jpg,Lead Instructor,https://www.linkedin.com/in/llamasa/
9,Sofía Pinilla,https://uploads-ssl.webflow.com/60782404b8e195845053206a/638e127e2af3ba5e3e105b21_sofia.png,Lead Instructor,https://www.linkedin.com/in/sof%C3%ADapinilla/
10,Francisco Molpeceres,https://uploads-ssl.webflow.com/60782404b8e195845053206a/60d5a3187e2172cd6a860688_Fullstack%20PT.jpg,Lead Instructor,https://www.linkedin.com/in/francisco-molpeceres-blazquez/
11,Giorgio Grassini,https://uploads-ssl.webflow.com/60782404b8e195845053206a/60e583dcc45696e19268ea60_GIORGIO%20GRASSINI_LI%20FS.jpg,Lead Instructor,https://www.linkedin.com/in/giorgiograssini/
12,Miguel Jiménez,https://uploads-ssl.webflow.com/60782404b8e195845053206a/62710f08b932aac026891a17_FotoMiguelJimenez.jpg,Lead Instructor,https://www.linkedin.com/in/miguelflg13/
13,Jonathan Hidalgo,https://uploads-ssl.webflow.com/60782404b8e195845053206a/6316eded1424857f6ccbb004_Profile_Photo.jpeg,Lead Instructor,https://www.linkedin.com/in/jonathan-hidalgo-mora-390216125/
